Review Text,Sentiment
Excellent service. Great ambience. Delicious food.,pos
"We visited this Italian restaurant regularly for meals, and we are always impressed with the service:)",pos
Good food but inconsistent,neutral
"Love the pizza, pasta, and baked sea bass. Great place with great atmosphere!",pos
I went there for Christmas day. It was 6 courses with reasonable price. They gave a stuffed toy for children. Good for family gathering and orchard road view.,pos
Food here is really good. Wish they’d do more for special occasions. Not for romantic dates.,neutral
"Nice
Ambiance friendly waitress - keep up thr good job !!!!👏",pos
The sauce is spoiled and has sour taste,neg
I like to go to the Italian restaurant for latte and cakes 🍰 👍😊,pos
Pasta was too overpriced. Pizzas were decent.,pos
It is a noisy and party like environment. The food and service are great as usual.  Try the grilled sea bass. You will not regret it.,pos
Best Prime ribs!,pos
Fine dinning experience at an affordable price. The food quality and presentation is great and I am greatly satisfied with the quantity. Prompt customer service available always. It is one of my favourite place to dine in.,pos
Not followed order request so cup 1/3 empty and not extra hot!,neg
"I have had my dinner here last week. I really enjoyed the meal and absolutely satisfied with the food and service. Lawry’s prime rib has served the very good quality steak, the salad made in front of me, but the lobster tail was a bit …",pos
It's our second visit and the food is awesome! Definitely gonna frequent this place for the yummy food!,pos
Lobe the ambience and the staff was super friendly and helpful.,pos
Excellent service by Joms.,pos
"Love the food. Weekly eat out place. Onion ring,  salad, food n chips and western wilder. The different flavour od ice tea is nice, too",pos
Well recommended,pos
"enjoyed my experience!! came here for a birthday celeb, the 90minute picanhas free flow with wine is great if you have a big appetite. The medium rare is slightly too chewy, would go for the medium instead. would come back again~",pos
The food is cold and also very expensive.If not because of the discountI won’t order from Collin with that kind of price,neutral
"Lunch: Nice truffle rosemary crusted lamb…have it medium or medium rare…so succulent

Dinner: Fine dining price, family restaurant ambience.

Be mentally prepared for noise if you are there as a couple. Be glad you have this option if you are there as parents with your young children.

Not right or wrong. Just have the right expectations.",neg
"We had a table by the full length window which gave lots of natural lights. My daughter was happy as all the food photos turned out very well. Food, especially lava cake was great. As we ordered too much pizza, didn't have room for mains. Will try it next round.",pos
"Either truffle or Parma ham scacchiatas, are so palatable. The cream wasn't overwhelming at all, as well as the cheese. Certainly you can order a Small serving and more than enough 😝",pos
A wonderful surprise when the staff presented a birthday cake for my wife and daughter. A real treat for them.,pos
"The steaks are too oily, the soup is starchy and the sour cream arediluted.",neutral
Delicious 😋,pos
"Used our AMEX Love Dining for a well priced meal at this traditional-style chophouse. Definitely get the Lawry’s cut and ask for extra gravy. The Yorkshire pudding goes great with it too. The ribeye is pretty good too, and comes with roasted vegetables. Spinning salad is fun to watch but nothing too impressive on taste. Overall great experience for a special occasion.",pos
Too cramped and hot.,neg
The attendants were not very friendly. Deserves better service for the food price.,neutral
"Pizza and seafood stew are really nice we love it. tiramisu so yummy 😋, we would like to visit again.",pos
"Excellent service, friendly staff, really good food.",pos
"Always awesome. What else to say. But order wisely, otherwise you wouldn’t understand why people love this place. Must order—meatballs and pasta pomodoro",pos
Simple no frills restaurant with great rosti to go with the great coffee they serve and nice truffle fries too,pos
Great place for great food. Service was great as well. Staffs were always friendly & helpful. Will be back again.,pos
"Celebrated husband’s birthday at the restaurant and we had a great time. Giri and his team made us feel very welcomed, and very attentive in their service. Kudos to the team and we will be back again very soon!",pos
Good was a disappointment. The sirloin steak was rather rubbery and not a nice cut. Spag Bog was ok though source was a little sour.,neg
Hot food is so so but chocolate stuff are great. Understaffed resulting in slow service at all areas occasionally.,pos
"Very slow for a Friday night. Food dragged a bit, but was done very well. 
Only complaint is the prices. I know it’s Singapore. I know Hard Rock has a name and a cult following. But it really was a bit overpriced.",pos
"First time eating at Lawry's with my friend. We chose the Summer 4-course set meal. The prime rib medium rare is tender. However the mashed potatoes were not fully mashed, with a big piece of potato unmashed, which I did not expect at this atas place.",pos
Excellent place to dine with our furry friends.,pos
Creme brûlées durian was not available the time I went for the visits. Definitely return for the next occasion,pos
My perennial favourite for good food and service.,pos
"We have a birthday celebration at this wonderful restaurant, over nice food and friendly staff 👍👍👍",pos
Nice and fresh ingredients. Authentic Italian food. Love the grilled seafood and vegetables.,pos
Fantastic food and service as always. One of the best in Singapore.,pos
Food was great though would prefer well cooked risotto. Only had alfresco sitting for our lunch - so the sun was in the way amidst a nice ambience,neutral
Nice American style restaurant.,pos
my go to for Italian food. however the biggest problem is that their dining time is limited to 2h,pos
Restaurant was busy and noisy but the food was really good and service is fast!,pos
Kids were disappointed coz the main playground is now a private club so they can’t play there. Lots of non-accessible up areas .  Food was standard pasta fries .,neg
"Great food especially the braised beef! The pasta nice too but portion bit small. The pizza base texture is to my wife’s liking. The table that we sat is quite warm, not sure the place was too packed or air-conditioner was not strong enough.",pos
"Service is impeccable and the staff were all warm and welcoming. Food was good, however the prices are not exactly justified for how ordinary the food was.

Apart from the beef itself which was fantastic, the portions for the rest of the items were small and the sides were not exactly top-notch. Came here to celebrate Valentine's Day but wouldn't exactly return unless we have something to celebrate.",neutral
Great and friendly service from the staff,pos
Fantastic staff. Super friendly. The atmosphere is so instagrammable especially if you like toys or brick bear etc... Food especially the baked rice is so delicious. The latte is awesome. Definitely 5 stars!,pos
Fantastic food and services. Will definitely come again.,pos
Halloumi salad was pretty good.,neutral
The pork belly was slightly dry. The pasta is good as usual. The atmosphere was great despite a little hustle and noise. Overall not bad.,pos
Excellent service. We were made to feel welcome the minute we entered the restaurant. The roast beef was excellent as usual and the desserts were great. Try the crepe suzette for something different. Price is not cheap so be prepared for the bill at the end!,pos
"Great food and service. Thanks for the cake for my early birthday this month.
Special thanks to Manager Mr Musa, Jazz, Sue and Nine for your superb service. Thank you for everything.",pos
Staffs could be more friendly and smile especially during this festive period. Don’t ruin others mood with their grumpy face.,pos
More sauce would be better.,neutral
Very nice latte and pizzas available at this wonderful Italian restaurant 👍👍👍😊😊😋,pos
Best Italian Osteria ever! Better than those I visited in Italy.,pos
"As usual, great wholesome and tasty food, efficient and convivial service!! My place to go when I want no-nonsense comfort food in Singapore! See you guys soon!!",pos
A homely place for me. Had a warm seafood guazzeto with garlic bread. Filled and fueled me up.,pos
Awesome food! Loved all the sides and handmade pasta! Great place for celebrations and even dates!,pos
My second time here within 3 months. As a usual the beef was great although should have had it medium vs medium done... and they always have specials. This round was Singapore national day .. 4 courses plus champagne at 199 for 2!! Great …,pos
"Great taste, portion size, price, and service! Will put this on my recommended restaurant list.",pos
"Great ambience. Colonial style set up is quite cozy and romantic. Staffs are quite friendly and helpful. Good tasty food. We enjoyed beef steak especially. Overall, we enjoyed our date at Wildseed Cafe. will definitely visit again.",pos
"Been a few years since I last ate at PS Cafe. The Jewel outlet's food was decent in general. Would definitely recommend the truffles fries though! Atmosphere is great. However service was not the best for me and my friends who sat near the water vortex at the back of the restaurant. Twice while we were chatting, worms fell from the ceiling/the plant to our plate (thankfully we had finished by then) and the staffs were not apologetic when we told them about this and did not proactively offered to change the seats for us. There were no form of compensation for the bad experience as well. If I were to go back to Jewel outlet again, will definitely explicitly request for an indoor seat instead.",neg
"Food is a bit too pricy and portion not very big. Visited a few times only for the live band. I have tried steak, pork collar, beehoon and carbonara. None of which I found to be outstanding but relatively acceptable at best. The bee hoon  in collagen broth was the first thing I ever tried.

 It was drabby in appearance and bland. I asked for soy sauce but there was none to be provided. I was given salt to adjust taste to my liking. 

Hope food can improve...",neg
"our family comes here often, quality of food has dropped since last year (children's roast beef are sinewy, salad's beetroot are getting smaller) but overall still acceptable, good friendly service, ambience is good too.",neutral
"Good food, nice selections of wines and great service. Definitely will comeback!",pos
"I think there is a event on 18/12 so the restuarant is quite busy and I feel we are not so well attended to as well as the dishes are not as nice as the 1st time I went. Still, the ambience is wonderful",pos
Very nice ambience and excellent food quality! Service staff was very friendly and prompt.,pos
An enjoyable dinning with my guests here!,pos
Great service and decent food. Went there for a course meal and the highlight was definitely the beef. It'd be better if the staff could be more attentive at times. Overall a good experience!,pos
The staff are very friendly and attentive to the customers' needs,pos
"Great ambiance and great food. Staff, especially Shailah, extends superb service given the Christmas holiday rush. Thank you.",pos
Ernest is always at hand to please! Friendly yet professional.,pos
Food is good but would prefer Rostti with sausages. Price is on the high side.,neutral
The burgers seems to be getting smaller… both the bun and the meatpatties.,neutral
"Food was good and the waiter that serve us food is great too. The downside is another personnel asked us to settle the bill when we are in the midst of celebrating our friend birthday (taking photos), i believe there could be better timing for bill settlement. Also, appreciate if we are given ample warning of “we are 10 minutes to closing” instead of just walk to our table and say “we are already closing since 3pm” (it was 3.10pm then). This doesn’t seem welcoming. Do you expect customer to remember your closing time?",neg
"Had the roast prime rib lunch SG cut with their 30% off steaks on wednesday. Came up to $73 net. Don't think the food justifies the price. Feel that I'm paying more for the brand name, location, view, ambience and pomp.",neutral
Beside the fact that the sticky chewy chocolate was not as chewy &‘sticky’. It tasted more like durian than chocolate.,pos
"Great sea bass and bruschetta . Place was rather crowded and noisy though. Servers were trying their best, but think place was too crowded perhaps,",pos
really really good Italian food and their hot chocolate is amazing,pos
Very tasty food,pos
"Good service.
Good food but pricey",pos
Tastes good but victim of shrinkflation. The 1/4 rib is about half the sizeof what it was a few months back.,pos
"Great service from the staff and the steaks were great. Celebrating  my buddy’s belated birthday, and I left a comment requesting for complimentary cake or dessert, to which the restaurant very kindly catered for. One of my favourite steak restaurants around, been there 5 times so far!!",pos
Some of the tables are placed under the blast of the air-conditioning units.,pos
特别好,pos
"BBQ station, only yakitori is good. Noodles station i only tried the Laksa but I felt I had many better ones. I wouldn't serve those oysters that are puny and pathetic. Desert station, bread pudding lacks flavour. Service was exceptional though.",neutral
"Nice and cozy ambience, good food quality, fast serving, have a wonderful night
Nice and cozy ambience, good food quality, fast serving, have a wonderful night",pos
